Antibiotic,Position,MIC,QC
gentamicin,A1,2.0,P
gentamicin,A2,1.0,P
gentamicin,A3,64.0,P
gentamicin,A4,>64.0,P
gentamicin,A5,1.0,P
gentamicin,A6,1.0,P
gentamicin,A7,2.0,P
gentamicin,A8,2.0,P
gentamicin,A9,>64.0,P
gentamicin,A10,1.0,P
gentamicin,A11,2.0,P
gentamicin,A12,>64.0,P
gentamicin,B1,2.0,P
gentamicin,B2,2.0,P
gentamicin,B3,<0.125,F
gentamicin,B4,1.0,P
gentamicin,B5,0.5,F
gentamicin,B6,4.0,P
gentamicin,B7,2.0,P
gentamicin,B8,1.0,P
gentamicin,B9,8.0,P
gentamicin,B10,64.0,P
gentamicin,B11,1.0,W
gentamicin,B12,2.0,P
gentamicin,C1,>64.0,P
gentamicin,C2,<0.125,F
gentamicin,C3,1.0,P
gentamicin,C4,1.0,P
gentamicin,C5,>64.0,P
gentamicin,C6,2.0,P
gentamicin,C7,1.0,P
gentamicin,C8,1.0,P
gentamicin,C9,2.0,P
gentamicin,C10,64.0,P
gentamicin,C11,2.0,W
gentamicin,C12,1.0,P
gentamicin,D1,1.0,P
gentamicin,D2,2.0,P
gentamicin,D3,1.0,P
gentamicin,D4,2.0,P
gentamicin,D5,>64.0,P
gentamicin,D6,2.0,P
gentamicin,D7,2.0,P
gentamicin,D8,2.0,P
gentamicin,D9,1.0,P
gentamicin,D10,1.0,P
gentamicin,D11,1.0,P
gentamicin,D12,2.0,P
gentamicin,E1,>64.0,P
gentamicin,E2,64.0,P
gentamicin,E3,1.0,P
gentamicin,E4,4.0,P
gentamicin,E5,2.0,P
gentamicin,E6,1.0,P
gentamicin,E7,64.0,P
gentamicin,E8,1.0,P
gentamicin,E9,2.0,P
gentamicin,E10,2.0,P
gentamicin,E11,2.0,P
gentamicin,E12,>64.0,P
gentamicin,F1,<0.125,P
gentamicin,F2,<0.125,W
gentamicin,F3,1.0,P
gentamicin,F4,0.5,P
gentamicin,F5,0.5,W
gentamicin,F6,1.0,P
gentamicin,F7,0.5,P
gentamicin,F8,1.0,P
gentamicin,F9,1.0,P
gentamicin,F10,2.0,P
gentamicin,F11,2.0,P
gentamicin,F12,>64.0,P
gentamicin,G1,<0.125,F
gentamicin,G2,16.0,P
gentamicin,G3,>64.0,P
gentamicin,G4,1.0,P
gentamicin,G5,>64.0,P
gentamicin,G6,1.0,P
gentamicin,G7,1.0,P
gentamicin,G8,2.0,P
gentamicin,G9,<0.125,F
gentamicin,G10,2.0,P
gentamicin,G11,>64.0,P
gentamicin,G12,<0.125,F
gentamicin,H1,2.0,P
gentamicin,H2,1.0,P
gentamicin,H3,64.0,P
gentamicin,H4,>64.0,P
gentamicin,H5,1.0,P
gentamicin,H6,1.0,P
gentamicin,H7,1.0,P
gentamicin,H8,<0.125,F
gentamicin,H9,>64.0,P
gentamicin,H10,2.0,P
gentamicin,H11,>64.0,P
gentamicin,H12,1.0,P
amikacin,A1,2.0,P
amikacin,A2,1.0,P
amikacin,A3,4.0,P
amikacin,A4,2.0,P
amikacin,A5,1.0,P
amikacin,A6,1.0,P
amikacin,A7,2.0,P
amikacin,A8,2.0,P
amikacin,A9,8.0,P
amikacin,A10,1.0,P
amikacin,A11,2.0,P
amikacin,A12,1.0,P
amikacin,B1,2.0,F
amikacin,B2,2.0,F
amikacin,B3,<0.03125,F
amikacin,B4,1.0,F
amikacin,B5,0.5,P
amikacin,B6,<0.03125,W
amikacin,B7,4.0,P
amikacin,B8,1.0,P
amikacin,B9,2.0,P
amikacin,B10,4.0,P
amikacin,B11,2.0,P
amikacin,B12,8.0,P
amikacin,C1,2.0,P
amikacin,C2,<0.03125,F
amikacin,C3,1.0,F
amikacin,C4,1.0,F
amikacin,C5,4.0,F
amikacin,C6,2.0,P
amikacin,C7,<0.03125,W
amikacin,C8,2.0,P
amikacin,C9,2.0,P
amikacin,C10,2.0,P
amikacin,C11,2.0,P
amikacin,C12,1.0,P
amikacin,D1,1.0,F
amikacin,D2,2.0,P
amikacin,D3,<0.03125,W
amikacin,D4,4.0,P
amikacin,D5,4.0,P
amikacin,D6,2.0,P
amikacin,D7,2.0,P
amikacin,D8,2.0,P
amikacin,D9,1.0,P
amikacin,D10,2.0,P
amikacin,D11,1.0,P
amikacin,D12,2.0,P
amikacin,E1,2.0,P
amikacin,E2,8.0,F
amikacin,E3,1.0,P
amikacin,E4,16.0,P
amikacin,E5,2.0,P
amikacin,E6,1.0,P
amikacin,E7,4.0,P
amikacin,E8,2.0,P
amikacin,E9,4.0,P
amikacin,E10,2.0,P
amikacin,E11,2.0,P
amikacin,E12,16.0,P
amikacin,F1,<0.03125,W
amikacin,F2,16.0,P
amikacin,F3,<0.03125,W
amikacin,F4,<0.03125,W
amikacin,F5,0.5,P
amikacin,F6,1.0,P
amikacin,F7,0.5,P
amikacin,F8,2.0,P
amikacin,F9,2.0,P
amikacin,F10,2.0,P
amikacin,F11,2.0,P
amikacin,F12,16.0,P
amikacin,G1,<0.03125,F
amikacin,G2,8.0,P
amikacin,G3,16.0,P
amikacin,G4,1.0,P
amikacin,G5,2.0,P
amikacin,G6,1.0,P
amikacin,G7,2.0,P
amikacin,G8,2.0,P
amikacin,G9,<0.03125,F
amikacin,G10,0.25,W
amikacin,G11,2.0,P
amikacin,G12,<0.03125,F
amikacin,H1,2.0,P
amikacin,H2,2.0,P
amikacin,H3,4.0,P
amikacin,H4,4.0,P
amikacin,H5,2.0,P
amikacin,H6,1.0,P
amikacin,H7,1.0,P
amikacin,H8,<0.03125,F
amikacin,H9,4.0,P
amikacin,H10,2.0,P
amikacin,H11,2.0,P
amikacin,H12,1.0,P
chloramphenicol,A1,>64.0,P
chloramphenicol,A2,>64.0,P
chloramphenicol,A3,64.0,P
chloramphenicol,A4,2.0,P
chloramphenicol,A5,8.0,P
chloramphenicol,A6,16.0,P
chloramphenicol,A7,32.0,P
chloramphenicol,A8,32.0,P
chloramphenicol,A9,>64.0,P
chloramphenicol,A10,16.0,P
chloramphenicol,A11,4.0,P
chloramphenicol,A12,2.0,P
chloramphenicol,B1,<0.03125,W
chloramphenicol,B2,>64.0,P
chloramphenicol,B3,<0.03125,F
chloramphenicol,B4,<0.03125,W
chloramphenicol,B5,8.0,F
chloramphenicol,B6,<0.03125,W
chloramphenicol,B7,16.0,P
chloramphenicol,B8,8.0,F
chloramphenicol,B9,8.0,P
chloramphenicol,B10,<0.03125,W
chloramphenicol,B11,4.0,P
chloramphenicol,B12,>64.0,P
chloramphenicol,C1,<0.03125,W
chloramphenicol,C2,<0.03125,F
chloramphenicol,C3,<0.03125,W
chloramphenicol,C4,64.0,F
chloramphenicol,C5,>64.0,P
chloramphenicol,C6,8.0,F
chloramphenicol,C7,<0.03125,W
chloramphenicol,C8,4.0,P
chloramphenicol,C9,<0.03125,W
