Antibiotic,Position,MIC,QC
flomoxef,A1,0.125,P
flomoxef,A2,0.125,W
flomoxef,A3,0.5,P
flomoxef,A4,0.125,W
flomoxef,A5,0.25,W
flomoxef,A6,16.0,P
flomoxef,A7,0.125,P
flomoxef,A8,0.125,P
flomoxef,A9,2.0,W
flomoxef,A10,32.0,P
flomoxef,A11,1.0,P
flomoxef,A12,0.125,P
flomoxef,B1,0.125,P
flomoxef,B2,0.125,W
flomoxef,B3,0.125,P
flomoxef,B4,0.125,W
flomoxef,B5,0.125,W
flomoxef,B6,0.0625,P
flomoxef,B7,>64.0,P
flomoxef,B8,0.125,P
flomoxef,B9,0.0625,W
flomoxef,B10,0.5,P
flomoxef,B11,0.0625,W
flomoxef,B12,0.0625,W
flomoxef,C1,4.0,P
flomoxef,C2,32.0,P
flomoxef,C3,0.25,P
flomoxef,C4,>64.0,P
flomoxef,C5,0.25,P
flomoxef,C6,0.5,P
flomoxef,C7,>64.0,P
flomoxef,C8,16.0,P
flomoxef,C9,>64.0,P
flomoxef,C10,0.125,W
flomoxef,C11,8.0,P
flomoxef,C12,0.125,W
flomoxef,D1,0.125,W
flomoxef,D2,0.125,W
flomoxef,D3,0.125,P
flomoxef,D4,0.125,W
flomoxef,D5,8.0,P
flomoxef,D6,0.25,P
flomoxef,D7,0.125,P
flomoxef,D8,2.0,P
flomoxef,D9,>64.0,P
flomoxef,D10,0.5,W
flomoxef,D11,0.0625,W
flomoxef,D12,0.0625,P
flomoxef,E1,0.125,P
flomoxef,E2,<0.03125,W
flomoxef,E3,<0.03125,W
flomoxef,E4,0.125,P
flomoxef,E5,0.125,P
flomoxef,E6,0.0625,P
flomoxef,E7,0.125,P
flomoxef,E8,32.0,P
flomoxef,E9,0.125,W
flomoxef,E10,0.25,P
flomoxef,E11,>64.0,P
flomoxef,E12,0.25,P
flomoxef,F1,<0.03125,W
flomoxef,F2,4.0,W
flomoxef,F3,>64.0,P
flomoxef,F4,0.25,P
flomoxef,F5,0.25,P
flomoxef,F6,0.125,P
flomoxef,F7,16.0,P
flomoxef,F8,0.25,P
flomoxef,F9,0.25,P
flomoxef,F10,>64.0,P
flomoxef,F11,>64.0,P
flomoxef,F12,0.125,P
flomoxef,G1,0.25,W
flomoxef,G2,16.0,P
flomoxef,G3,>64.0,P
flomoxef,G4,>64.0,P
flomoxef,G5,2.0,P
flomoxef,G6,0.125,W
flomoxef,G7,0.25,P
flomoxef,G8,0.25,P
flomoxef,G9,0.25,P
flomoxef,G10,0.0625,P
flomoxef,G11,0.25,P
flomoxef,G12,0.25,W
flomoxef,H1,<0.03125,W
flomoxef,H2,0.125,P
flomoxef,H3,0.5,P
flomoxef,H4,0.25,P
flomoxef,H5,0.25,W
flomoxef,H6,32.0,P
flomoxef,H7,<0.03125,F
flomoxef,H8,<0.03125,W
flomoxef,H9,>64.0,P
flomoxef,H10,0.125,P
flomoxef,H11,16.0,P
flomoxef,H12,<0.03125,F
