Antibiotic,Position,MIC,QC
unnamed_antibiotic,A1,<0.00390625,W
unnamed_antibiotic,A2,<0.00390625,W
unnamed_antibiotic,A3,<0.00390625,W
unnamed_antibiotic,A4,<0.00390625,W
unnamed_antibiotic,A5,<0.00390625,W
unnamed_antibiotic,A6,<0.00390625,W
unnamed_antibiotic,A7,<0.00390625,W
unnamed_antibiotic,A8,<0.00390625,W
unnamed_antibiotic,A9,<0.00390625,W
unnamed_antibiotic,A10,<0.00390625,W
unnamed_antibiotic,A11,<0.00390625,W
unnamed_antibiotic,A12,<0.00390625,W
unnamed_antibiotic,B1,<0.00390625,W
unnamed_antibiotic,B2,<0.00390625,W
unnamed_antibiotic,B3,<0.00390625,W
unnamed_antibiotic,B4,<0.00390625,W
unnamed_antibiotic,B5,<0.00390625,W
unnamed_antibiotic,B6,0.125,P
unnamed_antibiotic,B7,2.0,F
unnamed_antibiotic,B8,<0.00390625,W
unnamed_antibiotic,B9,<0.00390625,W
unnamed_antibiotic,B10,<0.00390625,W
unnamed_antibiotic,B11,<0.00390625,W
unnamed_antibiotic,B12,<0.00390625,W
unnamed_antibiotic,C1,<0.00390625,W
unnamed_antibiotic,C2,<0.00390625,W
unnamed_antibiotic,C3,<0.00390625,W
unnamed_antibiotic,C4,<0.00390625,W
unnamed_antibiotic,C5,0.5,P
unnamed_antibiotic,C6,1.0,P
unnamed_antibiotic,C7,0.25,P
unnamed_antibiotic,C8,0.25,F
unnamed_antibiotic,C9,<0.00390625,W
unnamed_antibiotic,C10,<0.00390625,W
unnamed_antibiotic,C11,<0.00390625,W
unnamed_antibiotic,C12,<0.00390625,W
unnamed_antibiotic,D1,<0.00390625,W
unnamed_antibiotic,D2,<0.00390625,W
unnamed_antibiotic,D3,0.5,F
unnamed_antibiotic,D4,8.0,P
unnamed_antibiotic,D5,0.5,P
unnamed_antibiotic,D6,1.0,P
unnamed_antibiotic,D7,0.5,P
unnamed_antibiotic,D8,0.5,P
unnamed_antibiotic,D9,2.0,P
unnamed_antibiotic,D10,<0.00390625,W
unnamed_antibiotic,D11,<0.00390625,W
unnamed_antibiotic,D12,<0.00390625,W
unnamed_antibiotic,E1,<0.00390625,W
unnamed_antibiotic,E2,<0.00390625,W
unnamed_antibiotic,E3,<0.00390625,W
unnamed_antibiotic,E4,0.5,P
unnamed_antibiotic,E5,0.25,P
unnamed_antibiotic,E6,0.125,P
unnamed_antibiotic,E7,<0.00390625,W
unnamed_antibiotic,E8,0.25,P
unnamed_antibiotic,E9,1.0,F
unnamed_antibiotic,E10,<0.00390625,W
unnamed_antibiotic,E11,<0.00390625,W
unnamed_antibiotic,E12,<0.00390625,W
unnamed_antibiotic,F1,<0.00390625,W
unnamed_antibiotic,F2,<0.00390625,W
unnamed_antibiotic,F3,<0.00390625,W
unnamed_antibiotic,F4,0.5,F
unnamed_antibiotic,F5,0.5,F
unnamed_antibiotic,F6,0.5,P
unnamed_antibiotic,F7,0.25,P
unnamed_antibiotic,F8,1.0,F
unnamed_antibiotic,F9,0.125,W
unnamed_antibiotic,F10,<0.00390625,W
unnamed_antibiotic,F11,<0.00390625,W
unnamed_antibiotic,F12,<0.00390625,W
unnamed_antibiotic,G1,<0.00390625,W
unnamed_antibiotic,G2,<0.00390625,W
unnamed_antibiotic,G3,<0.00390625,W
unnamed_antibiotic,G4,<0.00390625,W
unnamed_antibiotic,G5,1.0,F
unnamed_antibiotic,G6,0.25,F
unnamed_antibiotic,G7,0.25,F
unnamed_antibiotic,G8,1.0,F
unnamed_antibiotic,G9,0.5,F
unnamed_antibiotic,G10,<0.00390625,W
unnamed_antibiotic,G11,<0.00390625,W
unnamed_antibiotic,G12,<0.00390625,W
unnamed_antibiotic,H1,<0.00390625,W
unnamed_antibiotic,H2,<0.00390625,W
unnamed_antibiotic,H3,<0.00390625,W
unnamed_antibiotic,H4,<0.00390625,W
unnamed_antibiotic,H5,0.125,W
unnamed_antibiotic,H6,0.125,W
unnamed_antibiotic,H7,<0.00390625,F
unnamed_antibiotic,H8,<0.00390625,F
unnamed_antibiotic,H9,0.125,W
unnamed_antibiotic,H10,<0.00390625,W
unnamed_antibiotic,H11,<0.00390625,W
unnamed_antibiotic,H12,<0.00390625,F
