Antibiotic,Position,MIC,QC
flomoxef,A1,0.25,P
flomoxef,A2,>64.0,P
flomoxef,A3,0.5,P
flomoxef,A4,0.5,P
flomoxef,A5,0.25,P
flomoxef,A6,16.0,P
flomoxef,A7,0.125,P
flomoxef,A8,0.125,P
flomoxef,A9,0.25,P
flomoxef,A10,32.0,P
flomoxef,A11,2.0,P
flomoxef,A12,0.125,P
flomoxef,B1,0.25,P
flomoxef,B2,64.0,P
flomoxef,B3,0.125,P
flomoxef,B4,>64.0,P
flomoxef,B5,2.0,P
flomoxef,B6,0.0625,P
flomoxef,B7,>64.0,P
flomoxef,B8,0.125,P
flomoxef,B9,>64.0,P
flomoxef,B10,1.0,P
flomoxef,B11,0.25,P
flomoxef,B12,>64.0,P
flomoxef,C1,8.0,P
flomoxef,C2,64.0,P
flomoxef,C3,0.5,P
flomoxef,C4,>64.0,P
flomoxef,C5,0.25,W
flomoxef,C6,0.25,W
flomoxef,C7,>64.0,P
flomoxef,C8,8.0,P
flomoxef,C9,>64.0,P
flomoxef,C10,0.25,P
flomoxef,C11,16.0,P
flomoxef,C12,0.25,P
flomoxef,D1,>64.0,P
flomoxef,D2,>64.0,P
flomoxef,D3,0.0625,W
flomoxef,D4,4.0,P
flomoxef,D5,16.0,P
flomoxef,D6,0.25,P
flomoxef,D7,0.25,P
flomoxef,D8,2.0,P
flomoxef,D9,64.0,P
flomoxef,D10,1.0,P
flomoxef,D11,64.0,P
flomoxef,D12,0.0625,P
flomoxef,E1,0.25,P
flomoxef,E2,>64.0,P
flomoxef,E3,>64.0,P
flomoxef,E4,0.125,P
flomoxef,E5,0.125,P
flomoxef,E6,0.125,P
flomoxef,E7,0.125,P
flomoxef,E8,64.0,P
flomoxef,E9,0.125,P
flomoxef,E10,0.5,P
flomoxef,E11,0.125,P
flomoxef,E12,0.25,P
flomoxef,F1,0.25,P
flomoxef,F2,>64.0,P
flomoxef,F3,>64.0,P
flomoxef,F4,0.125,P
flomoxef,F5,0.25,P
flomoxef,F6,0.0625,P
flomoxef,F7,8.0,P
flomoxef,F8,0.25,P
flomoxef,F9,0.5,P
flomoxef,F10,0.125,P
flomoxef,F11,>64.0,P
flomoxef,F12,0.125,P
flomoxef,G1,0.25,P
flomoxef,G2,16.0,P
flomoxef,G3,>64.0,P
flomoxef,G4,>64.0,P
flomoxef,G5,4.0,P
flomoxef,G6,0.125,P
flomoxef,G7,0.125,P
flomoxef,G8,0.25,P
flomoxef,G9,0.125,W
flomoxef,G10,0.0625,P
flomoxef,G11,0.125,P
flomoxef,G12,0.25,P
flomoxef,H1,0.125,P
flomoxef,H2,0.125,P
flomoxef,H3,0.25,P
flomoxef,H4,0.25,P
flomoxef,H5,0.25,P
flomoxef,H6,64.0,P
flomoxef,H7,<0.03125,F
flomoxef,H8,<0.03125,F
flomoxef,H9,>64.0,P
flomoxef,H10,0.0625,P
flomoxef,H11,64.0,P
flomoxef,H12,<0.03125,F
meropenem,A1,0.5,P
meropenem,A2,0.25,P
meropenem,A3,1.0,P
meropenem,A4,1.0,P
meropenem,A5,0.5,P
meropenem,A6,0.5,P
meropenem,A7,0.25,P
meropenem,A8,0.5,P
meropenem,A9,2.0,P
meropenem,A10,0.5,P
meropenem,A11,1.0,P
meropenem,A12,0.5,P
meropenem,B1,1.0,P
meropenem,B2,1.0,P
meropenem,B3,0.25,P
meropenem,B4,0.5,P
meropenem,B5,2.0,P
meropenem,B6,0.125,P
meropenem,B7,2.0,P
meropenem,B8,0.5,P
meropenem,B9,2.0,P
meropenem,B10,0.5,P
meropenem,B11,0.5,P
meropenem,B12,0.25,P
meropenem,C1,0.5,P
meropenem,C2,0.125,P
meropenem,C3,1.0,P
meropenem,C4,2.0,P
meropenem,C5,0.5,P
meropenem,C6,1.0,P
meropenem,C7,0.25,P
meropenem,C8,0.5,P
meropenem,C9,1.0,P
meropenem,C10,1.0,P
meropenem,C11,>8.0,P
meropenem,C12,0.5,P
meropenem,D1,2.0,P
meropenem,D2,0.25,P
meropenem,D3,0.5,P
meropenem,D4,4.0,P
meropenem,D5,0.5,P
meropenem,D6,2.0,P
meropenem,D7,1.0,P
meropenem,D8,0.5,P
meropenem,D9,2.0,P
meropenem,D10,0.5,P
meropenem,D11,1.0,P
meropenem,D12,0.25,P
meropenem,E1,1.0,P
meropenem,E2,4.0,P
meropenem,E3,0.5,P
meropenem,E4,0.5,P
meropenem,E5,0.25,P
meropenem,E6,0.25,P
meropenem,E7,0.5,P
meropenem,E8,0.25,P
meropenem,E9,1.0,P
meropenem,E10,1.0,P
meropenem,E11,0.25,P
meropenem,E12,1.0,P
meropenem,F1,0.5,P
meropenem,F2,0.5,P
meropenem,F3,2.0,P
meropenem,F4,0.5,P
meropenem,F5,0.5,P
meropenem,F6,0.125,P
meropenem,F7,0.25,P
meropenem,F8,0.5,P
meropenem,F9,1.0,P
meropenem,F10,0.25,P
meropenem,F11,2.0,P
meropenem,F12,0.25,P
meropenem,G1,0.5,P
meropenem,G2,0.5,W
meropenem,G3,2.0,P
meropenem,G4,2.0,P
meropenem,G5,1.0,P
meropenem,G6,0.25,P
meropenem,G7,0.5,P
meropenem,G8,0.5,P
meropenem,G9,0.5,P
meropenem,G10,0.25,P
meropenem,G11,0.5,P
meropenem,G12,0.5,P
meropenem,H1,1.0,P
meropenem,H2,0.5,P
meropenem,H3,1.0,P
meropenem,H4,1.0,P
meropenem,H5,2.0,P
meropenem,H6,2.0,P
meropenem,H7,<0.004,F
meropenem,H8,<0.004,F
meropenem,H9,>8.0,P
meropenem,H10,0.25,P
meropenem,H11,0.5,P
meropenem,H12,<0.004,F
