Antibiotic,Position,MIC,QC
meropenem_batch_2_run1,A1,<0.00390625,W
meropenem_batch_2_run1,A2,<0.00390625,W
meropenem_batch_2_run1,A3,<0.00390625,W
meropenem_batch_2_run1,A4,<0.00390625,W
meropenem_batch_2_run1,A5,<0.00390625,W
meropenem_batch_2_run1,A6,<0.00390625,W
meropenem_batch_2_run1,A7,<0.00390625,W
meropenem_batch_2_run1,A8,<0.00390625,W
meropenem_batch_2_run1,A9,<0.00390625,W
meropenem_batch_2_run1,A10,<0.00390625,W
meropenem_batch_2_run1,A11,<0.00390625,W
meropenem_batch_2_run1,A12,<0.00390625,F
meropenem_batch_2_run1,B1,<0.00390625,W
meropenem_batch_2_run1,B2,<0.00390625,W
meropenem_batch_2_run1,B3,<0.00390625,W
meropenem_batch_2_run1,B4,<0.00390625,W
meropenem_batch_2_run1,B5,<0.00390625,W
meropenem_batch_2_run1,B6,<0.00390625,W
meropenem_batch_2_run1,B7,<0.00390625,W
meropenem_batch_2_run1,B8,<0.00390625,W
meropenem_batch_2_run1,B9,<0.00390625,W
meropenem_batch_2_run1,B10,<0.00390625,W
meropenem_batch_2_run1,B11,<0.00390625,W
meropenem_batch_2_run1,B12,<0.00390625,F
meropenem_batch_2_run1,C1,<0.00390625,W
meropenem_batch_2_run1,C2,<0.00390625,W
meropenem_batch_2_run1,C3,<0.00390625,W
meropenem_batch_2_run1,C4,<0.00390625,W
meropenem_batch_2_run1,C5,<0.00390625,W
meropenem_batch_2_run1,C6,<0.00390625,W
meropenem_batch_2_run1,C7,0.25,W
meropenem_batch_2_run1,C8,<0.00390625,W
meropenem_batch_2_run1,C9,<0.00390625,W
meropenem_batch_2_run1,C10,<0.00390625,W
meropenem_batch_2_run1,C11,<0.00390625,W
meropenem_batch_2_run1,C12,<0.00390625,F
meropenem_batch_2_run1,D1,<0.00390625,W
meropenem_batch_2_run1,D2,<0.00390625,W
meropenem_batch_2_run1,D3,<0.00390625,W
meropenem_batch_2_run1,D4,<0.00390625,W
meropenem_batch_2_run1,D5,0.5,F
meropenem_batch_2_run1,D6,1.0,P
meropenem_batch_2_run1,D7,0.5,P
meropenem_batch_2_run1,D8,0.5,P
meropenem_batch_2_run1,D9,<0.00390625,W
meropenem_batch_2_run1,D10,<0.00390625,W
meropenem_batch_2_run1,D11,<0.00390625,W
meropenem_batch_2_run1,D12,<0.00390625,W
meropenem_batch_2_run1,E1,<0.00390625,W
meropenem_batch_2_run1,E2,<0.00390625,W
meropenem_batch_2_run1,E3,<0.00390625,W
meropenem_batch_2_run1,E4,<0.00390625,W
meropenem_batch_2_run1,E5,0.25,F
meropenem_batch_2_run1,E6,0.125,P
meropenem_batch_2_run1,E7,<0.00390625,W
meropenem_batch_2_run1,E8,0.25,F
meropenem_batch_2_run1,E9,1.0,W
meropenem_batch_2_run1,E10,<0.00390625,W
meropenem_batch_2_run1,E11,<0.00390625,W
meropenem_batch_2_run1,E12,<0.00390625,W
meropenem_batch_2_run1,F1,<0.00390625,W
